Component, Time (ms)
Task time, 0.98
Task time, 0.877
Task time, 0.887
Task time, 0.871
Task time, 0.95
Task time, 0.978
Task time, 0.841
Task time, 0.875
Task time, 0.927
Task time, 0.929
Task time, 1.004
Task time, 0.919
Task time, 0.897
Task time, 1.466
Task time, 0.906
Task time, 0.892
Task time, 0.812
Task time, 1.309
Task time, 0.799
Task time, 0.818
Task time, 1.445
Task time, 0.915
Task time, 1.608
Task time, 1.101
Task time, 0.764
Task time, 1.196
Task time, 1.451
Task time, 1.455
Task time, 1.519
Task time, 1.457
Task time, 1.656
Task time, 0.708
Task time, 1.057
Task time, 1.449
Task time, 1.004
Task time, 1.775
Task time, 0.713
Task time, 0.719
Task time, 0.934
Task time, 0.745
Task time, 1.026
Task time, 0.712
Task time, 0.712
Task time, 0.732
Task time, 1.664
Task time, 5.292
Task time, 0.785
Task time, 0.729
Task time, 0.73
Task time, 0.711
Task time, 0.708
Task time, 0.717
Task time, 0.677
Task time, 0.69
Task time, 0.686
Task time, 0.697
Task time, 0.785
Task time, 0.66
Task time, 0.644
Task time, 0.644
Task time, 0.665
Task time, 0.739
Task time, 0.755
Task time, 0.768
Task time, 0.672
Task time, 0.626
Task time, 1.157
Task time, 0.678
Task time, 1.692
Task time, 1.2
Task time, 1.211
Task time, 1.645
Task time, 1.284
Task time, 1.227
Task time, 1.198
Task time, 1.436
Task time, 1.668
Task time, 1.505
Task time, 1.264
Task time, 1.223
Task time, 1.353
Task time, 1.339
Task time, 1.516
Task time, 1.2
Task time, 1.371
Task time, 0.918
Task time, 1.635
Task time, 1.512
Task time, 0.644
Task time, 1.588
Task time, 1.042
Task time, 1.554
Task time, 0.807
Task time, 1.658
Task time, 0.688
Task time, 1.347
Task time, 0.732
Task time, 0.701
Task time, 0.679
Task time, 1.358
Task time, 1.021
Task time, 1.378
Task time, 0.715
Task time, 1.365
Task time, 1.559
Task time, 1.338
Task time, 0.698
Task time, 0.751
Task time, 0.679
Task time, 0.702
Task time, 0.673
