Component, Time (ms)
Task time, 0.623
Task time, 0.719
Task time, 0.678
Task time, 0.634
Task time, 0.695
Task time, 0.692
Task time, 0.69
Task time, 1.332
Task time, 1.599
Task time, 0.716
Task time, 0.668
Task time, 0.705
Task time, 1.223
Task time, 0.615
Task time, 0.846
Task time, 0.65
Task time, 0.676
Task time, 0.893
Task time, 0.656
Task time, 0.645
Task time, 0.722
Task time, 0.675
Task time, 0.699
Task time, 0.646
Task time, 0.809
Task time, 1.116
Task time, 0.697
Task time, 0.702
Task time, 0.985
Task time, 0.778
Task time, 0.826
Task time, 0.696
Task time, 1.024
Task time, 0.826
Task time, 0.911
Task time, 0.916
Task time, 0.757
Task time, 1.292
Task time, 0.745
Task time, 0.694
Task time, 0.626
Task time, 1.539
Task time, 0.728
Task time, 1.316
Task time, 0.779
Task time, 1.006
Task time, 0.711
Task time, 0.737
Task time, 1.738
Task time, 0.995
Task time, 1.85
Task time, 1.059
Task time, 1.413
Task time, 1.094
Task time, 0.792
Task time, 0.757
Task time, 1.982
Task time, 1.82
Task time, 0.786
Task time, 1.29
Task time, 1.822
Task time, 0.765
Task time, 1.612
Task time, 0.957
Task time, 1.572
Task time, 1.145
Task time, 0.974
Task time, 2.045
Task time, 0.845
Task time, 1.487
Task time, 0.894
Task time, 2.074
Task time, 0.854
Task time, 0.886
Task time, 0.909
Task time, 1.363
Task time, 1.121
Task time, 0.942
Task time, 1.121
Task time, 0.942
Task time, 1.315
Task time, 1.431
Task time, 0.849
Task time, 1.445
Task time, 1.311
Task time, 0.859
Task time, 1.481
Task time, 2.301
Task time, 0.962
Task time, 1.842
Task time, 1.118
Task time, 1.733
Task time, 0.883
Task time, 1.265
Task time, 0.946
Task time, 1.083
Task time, 0.993
Task time, 2.167
Task time, 1.102
Task time, 2.127
Task time, 1.95
Task time, 1.095
Task time, 2.193
Task time, 1.105
Task time, 1.084
Task time, 1.133
Task time, 1.194
Task time, 1.102
Task time, 1.69
Task time, 1.42
Task time, 1.199
Task time, 2.651
Task time, 1.275
Task time, 1.108
Task time, 1.196
Task time, 1.217
Task time, 1.167
Task time, 1.256
Task time, 1.14
Task time, 1.319
Task time, 1.162
Task time, 1.129
Task time, 1.055
Task time, 2.41
Task time, 2.466
Task time, 1.509
Task time, 0.996
Task time, 1.533
Task time, 1.29
Task time, 2.292
Task time, 2.062
Task time, 1.142
Task time, 1.082
Task time, 2.689
Task time, 2.119
Task time, 1.936
Task time, 1.012
Task time, 1.071
Task time, 1.847
Task time, 1.606
Task time, 1.451
Task time, 2.019
Task time, 2.243
Task time, 2.65
Task time, 1.728
Task time, 2.52
Task time, 1.543
Task time, 2.22
Task time, 1.25
Task time, 1.714
Task time, 1.211
Task time, 1.226
Task time, 1.256
Task time, 1.286
Task time, 1.311
Task time, 1.33
Task time, 1.291
Task time, 1.257
Task time, 3.261
Task time, 1.373
Task time, 2.12
Task time, 1.399
Task time, 1.248
Task time, 1.218
Task time, 3.357
Task time, 1.336
Task time, 2.361
Task time, 3.171
Task time, 1.351
Task time, 1.414
Task time, 1.372
Task time, 1.985
Task time, 2.068
Task time, 1.706
Task time, 2.852
Task time, 2.709
Task time, 2.418
Task time, 1.393
Task time, 1.898
Task time, 1.567
Task time, 3.134
Task time, 1.419
Task time, 2.439
Task time, 1.354
Task time, 1.539
Task time, 2.832
Task time, 2.009
Task time, 1.347
Task time, 3.066
Task time, 2.973
Task time, 1.624
Task time, 2.548
Task time, 1.281
Task time, 1.97
Task time, 1.325
Task time, 1.972
Task time, 3.078
Task time, 3.667
Task time, 2.682
Task time, 1.621
Task time, 1.614
Task time, 2.429
Task time, 2.067
Task time, 1.379
Task time, 1.967
Task time, 3.09
Task time, 1.399
Task time, 1.874
Task time, 1.42
Task time, 2.035
Task time, 2.222
Task time, 2.044
Task time, 2.545
Task time, 1.686
Task time, 3.354
Task time, 1.449
Task time, 1.349
Task time, 3.589
Task time, 1.702
Task time, 1.974
Task time, 2.958
Task time, 2.188
Task time, 1.436
Task time, 1.407
Task time, 3.324
Task time, 1.507
Task time, 1.84
Task time, 1.961
Task time, 2.766
Task time, 2.309
Task time, 2.094
Task time, 2.278
Task time, 3.271
Task time, 2.803
Task time, 1.707
Task time, 2.647
Task time, 1.604
Task time, 2.413
Task time, 1.951
Task time, 4.1
Task time, 2.847
Task time, 1.659
Task time, 1.639
Task time, 3.721
Task time, 1.651
Task time, 1.686
Task time, 1.714
Task time, 1.653
Task time, 1.62
Task time, 1.819
Task time, 1.79
Task time, 1.67
Task time, 1.762
Task time, 1.784
Task time, 1.726
Task time, 1.693
Task time, 1.783
Task time, 1.862
Task time, 1.808
Task time, 1.756
Task time, 1.909
Task time, 2.723
Task time, 2.509
Task time, 1.839
Task time, 1.748
Task time, 1.805
Task time, 1.983
Task time, 1.874
Task time, 1.798
Task time, 1.839
Task time, 2.383
Task time, 1.885
Task time, 3.117
Task time, 1.828
Task time, 1.812
Task time, 1.794
Task time, 2.603
Task time, 2.755
Task time, 2.818
Task time, 3.714
Task time, 2.206
Task time, 2.822
Task time, 2.044
Task time, 1.926
Task time, 1.936
Task time, 2.676
Task time, 3.813
Task time, 2.183
Task time, 1.936
Task time, 2.945
Task time, 2.049
Task time, 1.904
Task time, 1.924
Task time, 2.11
Task time, 3.914
Task time, 1.944
Task time, 2.111
Task time, 1.886
Task time, 1.847
Task time, 1.726
Task time, 1.887
Task time, 2.461
Task time, 1.871
Task time, 1.909
Task time, 1.975
Task time, 1.928
Task time, 1.986
Task time, 1.941
Task time, 2.038
Task time, 3.618
Task time, 2.99
Task time, 1.879
Task time, 3.478
Task time, 2.372
Task time, 2.147
Task time, 3.606
Task time, 3.888
Task time, 3.023
Task time, 2.168
Task time, 1.9
Task time, 1.905
Task time, 1.891
Task time, 1.841
Task time, 1.91
Task time, 1.888
Task time, 1.958
Task time, 1.874
Task time, 1.89
Task time, 1.901
Task time, 2.643
Task time, 1.947
Task time, 2.022
Task time, 1.954
Task time, 2.147
Task time, 2.025
Task time, 2.105
Task time, 2.017
Task time, 1.951
Task time, 1.944
Task time, 1.988
Task time, 1.981
Task time, 2.058
Task time, 2.127
Task time, 4.573
Task time, 2.134
Task time, 1.961
Task time, 1.996
Task time, 2.054
Task time, 2.043
Task time, 2.113
Task time, 2.045
Task time, 2.157
Task time, 2.127
Task time, 2.409
Task time, 2.05
Task time, 2.038
Task time, 2.078
Task time, 2.061
Task time, 2.063
Task time, 2.062
Task time, 2.063
Task time, 2.073
Task time, 2.073
Task time, 2.2
Task time, 2.311
Task time, 2.208
Task time, 3.12
Task time, 2.474
Task time, 2.105
Task time, 2.116
Task time, 2.222
Task time, 2.141
Task time, 2.169
Task time, 2.474
Task time, 2.218
Task time, 2.21
Task time, 2.216
Task time, 2.502
Task time, 2.371
Task time, 2.578
Task time, 2.441
Task time, 3.069
Task time, 2.501
Task time, 2.276
Task time, 2.252
Task time, 2.335
Task time, 2.22
Task time, 2.454
Task time, 2.29
Task time, 2.404
Task time, 2.339
Task time, 2.317
Task time, 2.335
Task time, 2.657
Task time, 2.344
Task time, 2.411
Task time, 2.403
Task time, 2.398
Task time, 2.419
Task time, 2.536
Task time, 2.52
Task time, 2.452
Task time, 2.427
Task time, 2.418
Task time, 5.047
Task time, 2.439
Task time, 6.625
Task time, 2.498
Task time, 2.408
Task time, 2.618
Task time, 2.276
Task time, 4.274
Task time, 2.504
Task time, 2.493
Task time, 4.444
Task time, 2.479
Task time, 2.696
Task time, 2.495
Task time, 2.991
Task time, 2.664
Task time, 2.618
Task time, 4.452
Task time, 3.626
Task time, 2.522
Task time, 5.122
Task time, 4.485
Task time, 2.573
Task time, 2.546
Task time, 2.718
Task time, 2.34
Task time, 4.141
Task time, 2.541
Task time, 4.717
Task time, 4.432
Task time, 2.648
Task time, 2.366
Task time, 5.334
Task time, 2.507
Task time, 2.62
Task time, 2.597
Task time, 3.176
Task time, 3.723
Task time, 2.55
Task time, 5.068
Task time, 2.501
Task time, 4.155
Task time, 2.951
Task time, 2.559
Task time, 4.8
Task time, 2.527
Client Total,55892.334

